tree_id,species_name,dbh_in,x_coord,y_coord,collection_date,collector,height_ft,canopy_cover_ft,tree_condition,leaf_area_ft,leaf_biomass_lbs,leaf_area_index,basal_area_ft,street_tree,native_to_state,structural_value_dollars,carbon_storage_lbs,carbon_storage_dollars,gross_carbon_sequestration_lb_per_year,gross_carbon_sequestration_dollars_per_year,avoided_runoff_ft_per_year,avoided_runoff_dollars_per_year,carbon_avoided_lbs_per_year,carbon_avoided_dollars_per_year,pollution_removal_oz_per_year,pollution_removal_dollars_per_year,energy_savings_dollars_per_year,total_annual_benefits_dollars_per_year,leaf_area_2_ft,potential_evapotranspiration_ft_per_year,evaporation_ft_per_year,transpiration_ft_per_year,water_intercepted_ft_per_year,avoided_runoff_2_ft_per_year,avoided_runoff_value_dollars_per_year,co_removed_oz_per_year,o3_removed_oz_per_year,no2_removed_oz_per_year,so2_removed_ox_per_year,pm25_removed_oz_per_year,co_value_dollars_per_year,o3_value_dollars_per_year,no2_value_dollars_per_year,so2_value_dollars_per_year,pm25_value_dollars_per_year,oxygen_production_lbs_per_year,isoprene_oz_per_year,monoterpene_oz_per_year,vocs_oz_per_year,pollution_value_dollars_per_year,carbon_avoided_2_oz_per_year,carbon_avoided_2_dollars_per_year,heating_MBTU_per_year,heating_dollars_per_year,heating_Kwh_per_year,heating_2_dollars_per_year,cooling_Kwh_per_year,cooling_dollars_per_year,total_energy_savings_dollars_per_year
4652,American basswood,12.3,-86.10725963,42.77405533,6/21/18,GIS_Intern_BPW,52.4,408.3,FAIR,2667.8,16,6.5,0.8,NO,YES,1414.67,370,31.55,11.2,0.95,20.8,1.39,121.2,10.34,9.8,1.08,33.84,47.6,2667.8,645.9,97.6,242.5,97.7,20.8,1.39,0.1,8.3,0.7,0.3,0.4,0.01,0.33,0.01,0,0.74,29.8,0,0,0,1.09,121.22,10.34,1.55,21.68,12.74,1.8,73.52,10.36,33.84
4742,American basswood,7.4,-86.12662674,42.76989128,6/12/18,GIS_Intern_BPW,38.5,208.7,FAIR,1110,6.6,5.3,0.3,NO,YES,672.64,111.6,9.52,5.6,0.48,8.6,0.58,66.4,5.66,4.1,0.45,19.04,26.21,1110,268.7,40.6,100.9,40.7,8.6,0.58,0.1,3.5,0.3,0.1,0.2,0,0.14,0,0,0.31,15.1,0,0,0,0.45,66.39,5.66,0.67,9.28,5.43,0.76,63.87,9,19.04
4812,American basswood,1.6,-86.11951912,42.77849188,6/25/18,GIS_Intern_BPW,16.7,44.2,FAIR,178.8,1.1,4,0,NO,YES,48.94,3,0.26,0.7,0.06,1.4,0.09,-6.1,-0.52,0.7,0.07,-1.63,-1.93,178.8,43.3,6.5,16.3,6.5,1.4,0.09,0,0.6,0,0,0,0,0.02,0,0,0.05,2,0,0,0,0.07,-6.15,-0.52,-0.11,-1.52,-0.92,-0.13,0.15,0.02,-1.63
4923,American basswood,13.1,-86.11288259,42.77672065,6/14/18,GIS_Intern_BPW,54.4,444.9,FAIR,2962.7,17.7,6.7,0.9,NO,YES,1570.87,429.2,36.6,12.2,1.04,23,1.54,77.1,6.58,10.9,1.2,21.61,31.97,2962.7,717.3,108.4,269.3,108.5,23,1.54,0.1,9.2,0.8,0.3,0.4,0.01,0.37,0.01,0,0.82,32.5,0,0,0,1.21,77.13,6.58,0.96,13.39,7.75,1.09,50.61,7.13,21.61
5012,American basswood,1.5,-86.1198573,42.77757857,6/25/18,GIS_Intern_BPW,16.4,41.9,FAIR,170.6,1,4.1,0,NO,YES,48.94,2.6,0.22,0.7,0.06,1.3,0.09,-5.8,-0.49,0.6,0.07,-1.54,-1.82,170.6,41.3,6.2,15.5,6.3,1.3,0.09,0,0.5,0,0,0,0,0.02,0,0,0.05,1.8,0,0,0,0.07,-5.8,-0.49,-0.1,-1.44,-0.87,-0.12,0.14,0.02,-1.54
5025,American basswood,14.1,-86.12415035,42.77848399,7/11/18,GIS_Intern_BPW,56.5,487,FAIR,3290.5,19.7,6.8,1.1,NO,YES,1779.96,510.5,43.54,13.5,1.15,25.6,1.71,61.9,5.28,12.1,1.34,17.75,27.23,3290.5,796.6,120.4,299.1,120.5,25.6,1.71,0.2,10.3,0.9,0.4,0.5,0.01,0.41,0.01,0,0.91,35.9,0,0,0,1.34,61.93,5.28,0.62,8.69,4.91,0.69,59.41,8.37,17.75
5130,American basswood,1.6,-86.10726687,42.77222396,6/20/18,GIS_Intern_BPW,16.6,43,FAIR,175.1,1,4.1,0,NO,YES,48.94,3,0.26,0.7,0.06,1.4,0.09,-2.5,-0.22,0.6,0.07,-0.68,-0.67,175.1,42.4,6.4,15.9,6.4,1.4,0.09,0,0.5,0,0,0,0,0.02,0,0,0.05,2,0,0,0,0.07,-2.54,-0.22,-0.05,-0.63,-0.38,-0.05,0.04,0.01,-0.68
5135,American basswood,6.8,-86.06233342,42.78686026,5/29/18,GIS_Intern_BPW,36.6,188.7,FAIR,973.4,5.8,5.2,0.3,NO,YES,355.78,91.5,7.8,5,0.43,7.6,0.51,43.3,3.69,3.6,0.4,11.62,16.64,973.4,235.7,35.6,88.5,35.7,7.6,0.51,0,3,0.3,0.1,0.1,0,0.12,0,0,0.27,13.4,0,0,0,0.39,43.29,3.69,0.73,10.12,6.05,0.85,4.56,0.64,11.62
5151,American basswood,9.6,-86.06002235,42.78692477,5/29/18,GIS_Intern_BPW,45.3,295.6,FAIR,1757.3,10.5,5.9,0.5,NO,YES,960.13,206.2,17.59,8,0.68,13.7,0.91,43.3,3.69,6.5,0.71,11.62,17.62,1757.3,425.5,64.3,159.7,64.4,13.7,0.91,0.1,5.5,0.5,0.2,0.2,0,0.22,0,0,0.49,21.4,0,0,0,0.71,43.29,3.69,0.73,10.12,6.05,0.85,4.56,0.64,11.62
5157,American basswood,17.4,-86.11235548,42.77027251,6/19/18,GIS_Intern_BPW,62.6,642.4,FAIR,4345.8,26,6.8,1.7,NO,YES,2579.04,838.3,71.48,17.9,1.52,33.8,2.26,173.8,14.82,16,1.77,46.69,67.06,4345.8,1052.1,159,395,159.2,33.8,2.26,0.2,13.6,1.2,0.5,0.6,0.01,0.54,0.01,0,1.2,47.7,0,0,0,1.76,173.8,14.82,2.9,40.44,24.15,3.4,20.2,2.85,46.69
5168,American basswood,10.7,-86.06000408,42.7869274,5/29/18,GIS_Intern_BPW,48.4,339.8,FAIR,2117.3,12.7,6.2,0.6,NO,YES,1131.79,266.3,22.71,9.3,0.79,16.5,1.1,47.1,4.02,7.8,0.86,12.75,19.52,2117.3,512.6,77.5,192.5,77.6,16.5,1.1,0.1,6.6,0.6,0.2,0.3,0,0.26,0,0,0.59,24.7,0,0,0,0.85,47.15,4.02,0.76,10.55,6.25,0.88,9.37,1.32,12.75
5177,American basswood,13.3,-86.05235502,42.78939457,5/22/18,GIS_Intern_BPW,54.8,452.4,FAIR,3025.9,18.1,6.7,1,NO,YES,1611.46,444.8,37.93,12.4,1.06,23.5,1.57,70.5,6.01,11.2,1.23,19.27,29.15,3025.9,732.6,110.7,275.1,110.9,23.5,1.57,0.1,9.4,0.8,0.3,0.4,0.01,0.38,0.01,0,0.84,33.2,0,0,0,1.24,70.49,6.01,1.05,14.67,8.62,1.21,24.07,3.39,19.27
5261,American basswood,15,-86.06002999,42.78692907,5/29/18,GIS_Intern_BPW,58.4,530.9,FAIR,3618.5,21.6,6.8,1.2,NO,YES,1981.29,590.7,50.38,14.6,1.25,28.1,1.88,126.2,10.76,13.3,1.47,33.98,49.34,3618.5,876.1,132.4,328.9,132.6,28.1,1.88,0.2,11.3,1,0.4,0.5,0.01,0.45,0.01,0,1,39,0,0,0,1.47,126.18,10.76,2.07,28.94,17.22,2.43,18.56,2.61,33.98
5446,American basswood,5.9,-86.06223179,42.7872659,5/25/18,GIS_Intern_BPW,33.5,158.4,FAIR,774.9,4.6,4.9,0.2,NO,YES,267.83,65.4,5.58,4.2,0.36,6,0.4,72.1,6.15,2.9,0.31,19.44,26.66,774.9,187.6,28.3,70.4,28.4,6,0.4,0,2.4,0.2,0.1,0.1,0,0.1,0,0,0.21,11.1,0,0,0,0.31,72.15,6.15,1.18,16.5,9.83,1.39,11.05,1.56,19.44
5452,American basswood,16.1,-86.05121971,42.7882366,5/22/18,GIS_Intern_BPW,60.5,585.4,FAIR,3992.3,23.9,6.8,1.4,NO,YES,2244.26,698,59.52,16.1,1.37,31.1,2.08,86.6,7.38,14.7,1.62,25.08,37.53,3992.3,966.6,146.1,362.9,146.3,31.1,2.08,0.2,12.5,1.1,0.4,0.6,0.01,0.5,0.01,0,1.11,42.9,0,0,0,1.63,86.59,7.38,0.78,10.84,6.32,0.89,94.75,13.35,25.08
5671,American basswood,11.6,-86.09725553,42.77096235,7/6/18,GIS_Intern_BPW,50.8,380.1,FAIR,2441.7,14.6,6.4,0.7,NO,YES,1286.07,322.2,27.48,10.3,0.88,19,1.27,103.3,8.81,9,0.99,28.63,40.58,2441.7,591.2,89.3,222,89.5,19,1.27,0.1,7.6,0.7,0.3,0.3,0,0.3,0.01,0,0.68,27.6,0,0,0,0.99,103.33,8.81,1.4,19.6,11.59,1.63,52.5,7.4,28.63
5695,American basswood,12.5,-86.12271266,42.7688796,6/13/18,GIS_Intern_BPW,52.9,419.1,FAIR,2748.1,16.4,6.6,0.9,NO,YES,1452.8,384.3,32.77,11.4,0.98,21.4,1.43,118.1,10.07,10.1,1.12,31.99,45.58,2748.1,665.3,100.5,249.8,100.7,21.4,1.43,0.1,8.6,0.7,0.3,0.4,0.01,0.34,0.01,0,0.76,30.5,0,0,0,1.12,118.12,10.07,1.88,26.17,15.56,2.19,25.71,3.62,31.99
5711,American basswood,17.3,-86.1136004,42.76935641,6/18/18,GIS_Intern_BPW,62.5,637.9,FAIR,4321.7,25.8,6.8,1.6,NO,YES,2552.36,827,70.52,17.7,1.51,33.6,2.25,172.3,14.69,15.9,1.76,46.21,66.42,4321.7,1046.3,158.1,392.9,158.3,33.6,2.25,0.2,13.5,1.2,0.5,0.6,0.01,0.54,0.01,0,1.2,47.3,0,0,0,1.76,172.31,14.69,2.9,40.5,24.19,3.41,16.33,2.3,46.21
5745,American basswood,13.2,-86.07504287,42.78649859,5/31/18,GIS_Intern_BPW,54.6,448.6,FAIR,2990,17.9,6.7,1,NO,YES,1591.09,437,37.27,12.3,1.05,23.3,1.55,79.1,6.75,11,1.21,21.45,32.02,2990,723.9,109.4,271.8,109.5,23.3,1.55,0.1,9.3,0.8,0.3,0.4,0.01,0.37,0.01,0,0.83,32.8,0,0,0,1.22,79.1,6.75,1.24,17.36,10.24,1.44,18.85,2.66,21.45
5748,American basswood,9.6,-86.05568832,42.78916738,5/24/18,GIS_Intern_BPW,45.3,295.6,FAIR,1757.3,10.5,5.9,0.5,NO,YES,960.13,206.2,17.59,8,0.68,13.7,0.91,87,7.42,6.5,0.71,23.37,33.1,1757.3,425.5,64.3,159.7,64.4,13.7,0.91,0.1,5.5,0.5,0.2,0.2,0,0.22,0,0,0.49,21.4,0,0,0,0.71,86.98,7.42,1.45,20.19,12.06,1.7,10.51,1.48,23.37
5787,American basswood,16.7,-86.06355974,42.79329596,5/30/18,GIS_Intern_BPW,61.5,611.4,FAIR,4155.1,24.8,6.8,1.5,NO,YES,2395.55,760.9,64.89,16.9,1.44,32.3,2.16,144,12.28,15.3,1.69,39.03,56.6,4155.1,1006,152,377.7,152.2,32.3,2.16,0.2,13,1.1,0.5,0.6,0.01,0.52,0.01,0,1.15,45.1,0,0,0,1.69,144.04,12.28,2.28,31.8,18.95,2.67,32.38,4.56,39.03
5889,American basswood,14.8,-86.11852151,42.77474749,6/8/18,GIS_Intern_BPW,58.1,522.8,FAIR,3564.2,21.3,6.8,1.2,NO,YES,1935.47,572.3,48.81,14.4,1.22,27.7,1.85,172.3,14.69,13.1,1.45,46.21,65.43,3564.2,862.9,130.4,324,130.6,27.7,1.85,0.2,11.1,1,0.4,0.5,0.01,0.44,0.01,0,0.99,38.3,0,0,0,1.45,172.31,14.69,2.9,40.5,24.19,3.41,16.33,2.3,46.21
5915,American basswood,18.2,-86.1025437,42.76954514,7/11/18,GIS_Intern_BPW,63.8,683.5,FAIR,4572.1,27.3,6.7,1.8,NO,YES,2797.97,932,79.48,19,1.62,35.6,2.38,70.5,6.01,16.9,1.86,19.27,31.14,4572.1,1106.9,167.3,415.6,167.5,35.6,2.38,0.2,14.3,1.2,0.5,0.6,0.01,0.57,0.01,0,1.27,50.7,0,0,0,1.86,70.49,6.01,1.05,14.67,8.62,1.21,24.07,3.39,19.27
5989,American basswood,14.4,-86.11342788,42.77658524,6/14/18,GIS_Intern_BPW,57.1,502.7,FAIR,3400.2,20.3,6.8,1.1,NO,YES,1845.69,536.5,45.75,13.8,1.18,26.4,1.77,173.3,14.77,12.5,1.38,46.5,65.6,3400.2,823.2,124.4,309.1,124.6,26.4,1.77,0.2,10.6,0.9,0.4,0.5,0.01,0.42,0.01,0,0.94,36.9,0,0,0,1.38,173.25,14.77,2.9,40.52,24.2,3.41,18.27,2.57,46.5
6022,American basswood,13.2,-86.12043452,42.77801181,6/25/18,GIS_Intern_BPW,54.6,448.6,FAIR,2990,17.9,6.7,1,NO,YES,1591.09,437,37.27,12.3,1.05,23.3,1.55,126.4,10.78,11,1.21,34.2,48.8,2990,723.9,109.4,271.8,109.5,23.3,1.55,0.1,9.3,0.8,0.3,0.4,0.01,0.37,0.01,0,0.83,32.8,0,0,0,1.22,126.41,10.78,2.02,28.16,16.76,2.36,26.1,3.68,34.2
6040,American basswood,11.7,-86.05675625,42.78966125,5/24/18,GIS_Intern_BPW,51,383.6,FAIR,2467.7,14.8,6.4,0.7,NO,YES,1303.98,328.8,28.04,10.5,0.89,19.2,1.28,99.1,8.45,9.1,1,27.32,38.94,2467.7,597.4,90.3,224.3,90.4,19.2,1.28,0.1,7.7,0.7,0.3,0.3,0.01,0.31,0.01,0,0.68,27.9,0,0,0,1.01,99.09,8.45,1.4,19.48,11.52,1.62,44.08,6.21,27.32
